NamaFile,BanyakOrang,Kamera,Label
test_0053.jpg,4,1,Sedang
test_0054.jpg,4,1,Sedang
test_0055.jpg,4,1,Sedang
test_0056.jpg,4,1,Sedang
test_0057.jpg,5,1,Sedang
test_0058.jpg,5,1,Sedang
test_0059.jpg,5,1,Sedang
test_0060.jpg,5,1,Sedang
test_0061.jpg,5,1,Sedang
test_0062.jpg,4,1,Sedang
test_0063.jpg,5,1,Sedang
test_0064.jpg,5,1,Sedang
test_0065.jpg,5,1,Sedang
test_0066.jpg,5,1,Sedang
test_0067.jpg,5,1,Sedang
test_0068.jpg,4,1,Sedang
test_0069.jpg,6,1,Sedang
test_0070.jpg,6,1,Sedang
test_0071.jpg,5,1,Sedang
test_0072.jpg,6,1,Sedang
test_0073.jpg,6,1,Sedang
test_0074.jpg,6,1,Sedang
test_0109.jpg,5,2,Sedang
test_0110.jpg,5,2,Sedang
test_0111.jpg,5,2,Sedang
test_0112.jpg,5,2,Sedang
test_0113.jpg,5,2,Sedang
test_0114.jpg,5,2,Sedang
test_0115.jpg,5,2,Sedang
test_0116.jpg,5,2,Sedang
test_0117.jpg,5,2,Sedang
test_0118.jpg,5,2,Sedang
test_0119.jpg,5,2,Sedang
test_0120.jpg,5,2,Sedang
test_0121.jpg,5,2,Sedang
test_0122.jpg,5,2,Sedang
test_0123.jpg,5,2,Sedang
test_0124.jpg,5,2,Sedang
test_0125.jpg,5,2,Sedang
test_0126.jpg,5,2,Sedang
test_0127.jpg,5,2,Sedang
test_0128.jpg,5,2,Sedang
test_0129.jpg,4,2,Sedang
test_0130.jpg,4,2,Sedang
test_0131.jpg,4,2,Sedang
test_0132.jpg,4,2,Sedang
test_0133.jpg,6,2,Sedang
test_0134.jpg,6,2,Sedang
test_0135.jpg,6,2,Sedang
test_0136.jpg,6,2,Sedang
test_0137.jpg,5,2,Sedang
test_0138.jpg,6,2,Sedang
test_0139.jpg,6,2,Sedang
test_0140.jpg,6,2,Sedang
test_0141.jpg,6,2,Sedang
test_0142.jpg,6,2,Sedang
test_0143.jpg,6,2,Sedang
test_0144.jpg,6,2,Sedang
test_0145.jpg,6,2,Sedang
test_0146.jpg,6,2,Sedang
test_0147.jpg,6,2,Sedang
test_0148.jpg,5,2,Sedang
test_0149.jpg,5,2,Sedang
test_0150.jpg,6,2,Sedang
test_0151.jpg,6,2,Sedang
test_0152.jpg,5,2,Sedang
test_0153.jpg,5,2,Sedang
test_0154.jpg,5,2,Sedang
test_0155.jpg,6,2,Sedang
test_0156.jpg,6,2,Sedang
test_0157.jpg,6,2,Sedang
valid_0065.jpg,6,1,Dingin
valid_0066.jpg,6,1,Dingin
valid_0067.jpg,5,1,Dingin
valid_0068.jpg,5,1,Dingin
valid_0069.jpg,6,1,Dingin
valid_0070.jpg,6,1,Dingin
valid_0071.jpg,5,1,Dingin
valid_0072.jpg,6,1,Dingin
valid_0073.jpg,6,1,Dingin
valid_0074.jpg,6,1,Dingin
valid_0075.jpg,6,1,Dingin
valid_0076.jpg,6,1,Dingin
valid_0077.jpg,6,1,Dingin
valid_0078.jpg,6,1,Dingin
valid_0079.jpg,6,1,Dingin
valid_0080.jpg,6,1,Dingin
valid_0081.jpg,6,1,Dingin
valid_0082.jpg,6,1,Dingin
valid_0083.jpg,6,1,Dingin
valid_0097.jpg,6,1,Dingin
valid_0098.jpg,6,1,Dingin
valid_0099.jpg,6,1,Dingin
valid_0100.jpg,6,1,Dingin
valid_0101.jpg,5,1,Dingin
valid_0102.jpg,6,1,Dingin
valid_0103.jpg,5,1,Dingin
valid_0104.jpg,6,1,Dingin
valid_0105.jpg,5,1,Dingin
valid_0106.jpg,6,1,Dingin
valid_0107.jpg,6,1,Dingin
valid_0108.jpg,6,1,Dingin
valid_0109.jpg,6,1,Dingin
valid_0177.jpg,6,2,Dingin
valid_0178.jpg,6,2,Dingin
valid_0179.jpg,6,2,Dingin
valid_0180.jpg,6,2,Dingin
valid_0181.jpg,6,2,Dingin
valid_0182.jpg,6,2,Dingin
valid_0183.jpg,6,2,Dingin
valid_0184.jpg,6,2,Dingin
valid_0185.jpg,6,2,Dingin
valid_0186.jpg,6,2,Dingin
valid_0187.jpg,6,2,Dingin
valid_0188.jpg,6,2,Dingin
valid_0189.jpg,6,2,Dingin
valid_0190.jpg,6,2,Dingin
valid_0191.jpg,6,2,Dingin
valid_0192.jpg,6,2,Dingin
valid_0193.jpg,6,2,Dingin
valid_0194.jpg,6,2,Dingin
valid_0195.jpg,6,2,Dingin
valid_0196.jpg,6,2,Dingin
valid_0197.jpg,5,2,Dingin
valid_0198.jpg,5,2,Dingin
valid_0199.jpg,6,2,Dingin
valid_0200.jpg,6,2,Dingin
valid_0201.jpg,6,2,Dingin
valid_0202.jpg,6,2,Dingin
valid_0203.jpg,6,2,Dingin
valid_0204.jpg,6,2,Dingin
valid_0205.jpg,6,2,Dingin
valid_0206.jpg,6,2,Dingin
valid_0207.jpg,6,2,Dingin
valid_0208.jpg,6,2,Dingin
valid_0209.jpg,6,2,Dingin
valid_0210.jpg,6,2,Dingin
valid_0211.jpg,6,2,Dingin
