NamaFile,Label
train_0000.jpg,Sedang
train_0001.jpg,Sedang
train_0002.jpg,Sedang
train_0003.jpg,Sedang
train_0004.jpg,Sedang
train_0005.jpg,Sedang
train_0006.jpg,Sedang
train_0007.jpg,Sedang
train_0008.jpg,Sedang
train_0009.jpg,Sedang
train_0010.jpg,Sedang
train_0011.jpg,Sedang
train_0012.jpg,Sedang
train_0013.jpg,Sedang
train_0014.jpg,Sedang
train_0015.jpg,Sedang
train_0016.jpg,Sedang
train_0017.jpg,Sedang
train_0018.jpg,Sedang
train_0019.jpg,Sedang
train_0020.jpg,Sedang
train_0021.jpg,Sedang
train_0022.jpg,Sedang
train_0023.jpg,Sedang
train_0024.jpg,Sedang
train_0025.jpg,Sedang
train_0026.jpg,Sedang
train_0027.jpg,Sedang
train_0028.jpg,Sedang
train_0029.jpg,Sedang
train_0030.jpg,Sedang
train_0031.jpg,Sedang
train_0032.jpg,Sejuk
train_0033.jpg,Sejuk
train_0034.jpg,Sejuk
train_0035.jpg,Sejuk
train_0036.jpg,Sejuk
train_0037.jpg,Sejuk
train_0038.jpg,Sejuk
train_0039.jpg,Sejuk
train_0040.jpg,Sejuk
train_0041.jpg,Sejuk
train_0042.jpg,Sejuk
train_0043.jpg,Sejuk
train_0044.jpg,Sejuk
train_0045.jpg,Sejuk
train_0046.jpg,Sejuk
train_0047.jpg,Sedang
train_0048.jpg,Sedang
train_0049.jpg,Sedang
train_0050.jpg,Sedang
train_0051.jpg,Sedang
train_0052.jpg,Sedang
train_0053.jpg,Sedang
train_0054.jpg,Sedang
train_0055.jpg,Sedang
train_0056.jpg,Sedang
train_0057.jpg,Sedang
train_0058.jpg,Sedang
train_0059.jpg,Sedang
train_0060.jpg,Sedang
train_0061.jpg,Sedang
train_0062.jpg,Sedang
train_0063.jpg,Sedang
train_0064.jpg,Sedang
train_0065.jpg,Sedang
train_0066.jpg,Sedang
train_0067.jpg,Sedang
train_0068.jpg,Sedang
train_0069.jpg,Sedang
train_0070.jpg,Sedang
train_0071.jpg,Sedang
train_0072.jpg,Sedang
train_0073.jpg,Sedang
train_0074.jpg,Sedang
train_0075.jpg,Sedang
train_0076.jpg,Sedang
train_0077.jpg,Sedang
train_0078.jpg,Sedang
train_0079.jpg,Sedang
train_0080.jpg,Sedang
train_0081.jpg,Sedang
train_0082.jpg,Sedang
train_0083.jpg,Sedang
train_0084.jpg,Sedang
train_0085.jpg,Sedang
train_0086.jpg,Sejuk
train_0087.jpg,Sejuk
train_0088.jpg,Sejuk
train_0089.jpg,Sejuk
train_0090.jpg,Sejuk
train_0091.jpg,Sejuk
train_0092.jpg,Sejuk
train_0093.jpg,Sejuk
train_0094.jpg,Sejuk
train_0095.jpg,Sejuk
train_0096.jpg,Sejuk
train_0097.jpg,Sejuk
train_0098.jpg,Sejuk
train_0099.jpg,Sejuk
train_0100.jpg,Sejuk
train_0101.jpg,Sejuk
train_0102.jpg,Sejuk
train_0103.jpg,Sejuk
train_0104.jpg,Sejuk
train_0105.jpg,Sejuk
train_0106.jpg,Sejuk
train_0107.jpg,Sejuk
train_0108.jpg,Sejuk
train_0109.jpg,Sedang
train_0110.jpg,Sedang
train_0111.jpg,Sedang
train_0112.jpg,Sedang
train_0113.jpg,Sedang
train_0114.jpg,Sedang
train_0115.jpg,Sedang
